Date,Price,Open,High,Low,Vol.,Change %
2/23/2009,99.78,99.78,99.78,99.78,0.70K,0.00%
2/20/2009,99.78,99.77,99.78,99.77,1.42K,0.01%
2/19/2009,99.77,99.77,99.78,99.77,7.37K,0.00%
2/18/2009,99.77,99.76,99.77,99.76,3.31K,0.00%
2/17/2009,99.77,99.77,99.77,99.76,1.11K,0.00%
2/13/2009,99.77,99.75,99.77,99.75,1.56K,0.00%
2/12/2009,99.77,99.76,99.77,99.76,10.93K,0.01%
2/11/2009,99.76,99.76,99.76,99.75,2.56K,0.00%
2/10/2009,99.76,99.76,99.76,99.76,2.67K,0.01%
2/9/2009,99.75,99.76,99.76,99.75,2.20K,-0.01%
2/6/2009,99.76,99.76,99.77,99.76,3.00K,0.00%
2/5/2009,99.76,99.77,99.77,99.75,5.02K,0.00%
2/4/2009,99.76,99.77,99.77,99.76,9.23K,-0.01%
2/3/2009,99.77,99.78,99.78,99.77,3.88K,0.00%
2/2/2009,99.77,99.77,99.78,99.77,3.37K,-0.07%
1/30/2009,99.84,99.84,99.84,99.84,,0.00%
1/29/2009,99.84,99.84,99.84,99.84,3.06K,0.00%
1/28/2009,99.84,99.84,99.84,99.84,1.73K,0.00%
1/27/2009,99.84,99.84,99.85,99.84,2.94K,0.00%
1/26/2009,99.84,99.84,99.84,99.84,1.50K,0.01%
1/23/2009,99.83,99.83,99.84,99.83,4.13K,0.00%
1/22/2009,99.83,99.83,99.84,99.83,3.07K,-0.01%
1/21/2009,99.84,99.85,99.85,99.84,3.28K,-0.01%
1/20/2009,99.85,99.85,99.85,99.84,1.41K,-0.01%
1/16/2009,99.86,99.86,99.86,99.84,4.10K,0.00%
1/15/2009,99.86,99.87,99.87,99.86,3.95K,-0.02%
1/14/2009,99.88,99.88,99.88,99.86,4.91K,0.00%
1/13/2009,99.88,99.88,99.88,99.88,3.97K,0.01%
1/12/2009,99.87,99.88,99.88,99.87,1.01K,0.00%
1/9/2009,99.87,99.86,99.88,99.86,3.13K,0.01%
1/8/2009,99.86,99.86,99.87,99.86,2.71K,0.00%
1/7/2009,99.86,99.86,99.86,99.86,3.35K,0.01%
1/6/2009,99.85,99.85,99.86,99.85,2.82K,0.01%
1/5/2009,99.84,99.87,99.87,99.83,4.68K,0.01%
1/2/2009,99.83,99.84,99.84,99.83,1.87K,-0.01%
12/31/2008,99.84,99.85,99.85,99.84,7.12K,0.00%
12/30/2008,99.84,99.84,99.84,99.84,3.15K,0.00%
12/29/2008,99.84,99.84,99.84,99.84,2.13K,0.01%
12/26/2008,99.83,99.83,99.84,99.83,0.55K,0.00%
12/24/2008,99.83,99.83,99.83,99.83,0.33K,0.00%
12/23/2008,99.83,99.83,99.83,99.83,2.22K,0.00%
12/22/2008,99.83,99.83,99.83,99.82,1.71K,0.00%
12/19/2008,99.83,99.83,99.83,99.83,0.60K,0.00%
12/18/2008,99.83,99.83,99.83,99.81,2.79K,0.01%
12/17/2008,99.82,99.83,99.83,99.8,5.96K,-0.01%
12/16/2008,99.83,99.78,99.85,99.76,5.56K,0.05%
12/15/2008,99.78,99.79,99.8,99.77,3.25K,-0.02%
12/12/2008,99.8,99.81,99.83,99.79,1.64K,0.00%
12/11/2008,99.8,99.79,99.81,99.79,2.50K,0.01%
12/10/2008,99.79,99.75,99.8,99.75,2.04K,0.00%
12/9/2008,99.79,99.75,99.8,99.75,2.81K,0.03%
12/8/2008,99.76,99.78,99.78,99.73,2.69K,0.03%
12/5/2008,99.73,99.69,99.73,99.69,7.19K,0.05%
12/4/2008,99.68,99.64,99.69,99.64,4.86K,0.03%
12/3/2008,99.65,99.6,99.66,99.6,4.10K,0.06%
12/2/2008,99.59,99.6,99.61,99.59,4.41K,0.00%
12/1/2008,99.59,99.59,99.61,99.57,5.23K,-0.01%
11/28/2008,99.6,99.59,99.61,99.59,,0.02%
11/26/2008,99.58,99.56,99.59,99.56,1.17K,0.02%
11/25/2008,99.56,99.55,99.58,99.54,2.44K,0.01%
11/24/2008,99.55,99.56,99.56,99.54,5.71K,-0.03%
11/21/2008,99.58,99.61,99.61,99.53,3.67K,-0.02%
11/20/2008,99.6,99.62,99.64,99.57,3.87K,-0.02%
11/19/2008,99.62,99.63,99.64,99.57,4.52K,-0.01%
11/18/2008,99.63,99.64,99.65,99.62,3.28K,0.00%
11/17/2008,99.63,99.63,99.64,99.59,5.14K,0.01%
11/14/2008,99.62,99.59,99.62,99.58,4.01K,0.04%
11/13/2008,99.58,99.57,99.66,99.57,3.45K,-0.04%
11/12/2008,99.62,99.62,99.67,99.61,2.98K,-0.03%
11/11/2008,99.65,99.62,99.68,99.61,0.62K,0.04%
11/10/2008,99.61,99.58,99.62,99.58,3.36K,0.04%
11/7/2008,99.57,99.56,99.61,99.54,8.71K,0.04%
11/6/2008,99.53,99.48,99.54,99.46,12.55K,0.07%
11/5/2008,99.46,99.49,99.6,99.44,17.07K,-0.03%
11/4/2008,99.49,99.5,99.5,99.45,10.02K,0.07%
11/3/2008,99.42,99.37,99.44,99.37,12.26K,0.39%
10/31/2008,99.03,99.03,99.03,99.02,,0.01%
10/30/2008,99.02,99,99.02,99,1.94K,0.03%
10/29/2008,98.99,98.95,99,98.95,3.55K,0.02%
10/28/2008,98.97,98.96,98.98,98.96,2.47K,0.01%
10/27/2008,98.96,98.96,98.97,98.96,1.79K,0.01%
10/24/2008,98.95,98.93,98.98,98.91,2.17K,0.04%
10/23/2008,98.91,98.9,98.95,98.89,3.05K,0.01%
10/22/2008,98.9,98.93,98.96,98.72,6.77K,-0.02%
10/21/2008,98.92,98.89,98.94,98.89,4.96K,0.05%
10/20/2008,98.87,98.85,98.95,98.83,4.11K,0.07%
10/17/2008,98.8,98.76,98.85,98.76,11.05K,0.01%
10/16/2008,98.79,98.81,98.81,98.78,5.50K,0.02%
10/15/2008,98.77,98.71,98.8,98.71,7.82K,0.06%
10/14/2008,98.71,98.68,98.72,98.67,14.03K,0.01%
10/13/2008,98.7,98.67,98.71,98.66,2.07K,0.03%
10/10/2008,98.67,98.58,98.7,98.57,7.31K,0.14%
10/9/2008,98.53,98.53,98.56,98.5,4.96K,0.03%
10/8/2008,98.5,98.4,98.54,98.39,34.66K,0.11%
10/7/2008,98.39,98.53,98.62,98.36,19.54K,-0.23%
10/6/2008,98.62,98.64,98.7,98.47,47.29K,0.03%
10/3/2008,98.59,98.48,98.64,98.48,34.25K,0.15%
10/2/2008,98.44,98.32,98.47,98.32,29.91K,0.17%
10/1/2008,98.27,98.24,98.34,98.23,17.43K,0.08%
9/30/2008,98.19,98.2,98.2,98.17,9.92K,0.00%
9/29/2008,98.19,98.19,98.21,98.18,12.08K,0.00%
9/26/2008,98.19,98.13,98.19,98.12,11.87K,0.08%
9/25/2008,98.11,98.11,98.12,98.1,7.23K,0.01%
9/24/2008,98.1,98.06,98.1,98.06,9.12K,0.04%
9/23/2008,98.06,98.03,98.07,98.03,6.75K,0.04%
9/22/2008,98.02,98,98.03,98,24.24K,0.02%
9/19/2008,98,98.03,98.05,97.97,18.09K,-0.06%
9/18/2008,98.06,98.1,98.13,98.03,16.26K,-0.05%
9/17/2008,98.11,98.03,98.14,98.03,16.21K,0.06%
9/16/2008,98.05,98.1,98.17,98.03,30.65K,-0.03%
9/15/2008,98.08,98.07,98.15,98.06,47.48K,0.06%
9/12/2008,98.02,98,98.03,98,9.10K,0.00%
9/11/2008,98.02,98.01,98.03,98,11.45K,0.01%
9/10/2008,98.01,98.01,98.02,98.01,4.57K,0.01%
9/9/2008,98,98,98.02,98,5.48K,0.00%
9/8/2008,98,97.99,98,97.99,3.95K,0.01%
9/5/2008,97.99,97.99,98,97.99,3.08K,0.00%
9/4/2008,97.99,97.99,97.99,97.98,4.28K,0.00%
9/3/2008,97.99,97.98,97.99,97.98,4.45K,0.01%
9/2/2008,97.98,97.99,97.99,97.98,4.16K,-0.01%
8/29/2008,97.99,97.99,98,97.99,,0.00%
8/28/2008,97.99,97.99,98,97.99,6.12K,0.00%
8/27/2008,97.99,98,98,97.99,2.60K,0.00%
8/26/2008,97.99,97.99,97.99,97.98,1.73K,0.00%
8/25/2008,97.99,97.99,97.99,97.98,3.71K,0.00%
8/22/2008,97.99,98,98,97.99,2.62K,-0.01%
8/21/2008,98,98,98,97.99,0.61K,0.00%
8/20/2008,98,98,98,98,1.21K,0.00%
8/19/2008,98,97.99,98,97.99,3.57K,0.01%
8/18/2008,97.99,97.99,97.99,97.99,2.15K,0.00%
8/15/2008,97.99,97.99,97.99,97.99,6.44K,0.00%
8/14/2008,97.99,97.99,98,97.99,7.91K,0.00%
8/13/2008,97.99,97.99,98,97.99,5.23K,0.00%
8/12/2008,97.99,97.99,98,97.99,3.23K,0.00%
8/11/2008,97.99,97.99,98,97.99,3.27K,0.00%
8/8/2008,97.99,97.99,98,97.99,2.92K,0.00%
8/7/2008,97.99,97.99,98,97.99,7.10K,0.00%
8/6/2008,97.99,97.99,98,97.99,9.02K,0.00%
8/5/2008,97.99,97.98,98,97.98,23.81K,0.01%
8/4/2008,97.98,97.98,97.99,97.98,7.64K,0.00%
8/1/2008,97.98,97.98,97.99,97.98,5.13K,-0.01%
7/31/2008,97.99,97.99,97.99,97.98,3.92K,0.00%
7/30/2008,97.99,97.99,98,97.98,1.59K,0.00%
7/29/2008,97.99,98,98,97.99,2.31K,0.00%
7/28/2008,97.99,98,98,97.98,3.34K,-0.01%
7/25/2008,98,98,98,97.99,3.38K,0.00%
7/24/2008,98,98,98,98,5.18K,0.00%
7/23/2008,98,98,98.01,98,2.17K,0.00%
7/22/2008,98,98,98.01,98,0.22K,0.00%
7/21/2008,98,98.01,98.01,98,0.37K,0.00%
7/18/2008,98,98,98.01,98,4.75K,0.00%
7/17/2008,98,98,98,98,1.34K,0.00%
7/16/2008,98,98,98,98,1.92K,0.00%
7/15/2008,98,98,98.01,98,4.51K,0.00%
7/14/2008,98,98,98.01,98,3.41K,0.00%
7/11/2008,98,98,98,98,16.30K,0.00%
7/10/2008,98,98,98,98,3.47K,0.00%
7/9/2008,98,98,98,98,2.88K,0.00%
7/8/2008,98,98,98,98,5.00K,0.00%
7/7/2008,98,98,98,97.99,14.17K,0.01%
7/3/2008,97.99,98,98,97.98,2.70K,0.00%
7/2/2008,97.99,97.99,98,97.98,4.46K,0.00%
7/1/2008,97.99,98,98,97.98,6.76K,-0.01%
6/30/2008,98,98,98.01,98,14.28K,0.00%
6/27/2008,98,98,98,98,3.94K,0.00%
6/26/2008,98,98,98,98,0.66K,0.00%
